_id,correlation
4399103,"{'CNAE_PRINCIPAL': 4399103, 'CNAE_SECUNDARIA': '4330404,4322301,4321500', 'count': 1}"
4399103,"{'CNAE_PRINCIPAL': 4399103, 'CNAE_SECUNDARIA': '4330404,8130300,4322301', 'count': 1}"
4399103,"{'CNAE_PRINCIPAL': 4399103, 'CNAE_SECUNDARIA': '4330404,4759899', 'count': 1}"
4399103,"{'CNAE_PRINCIPAL': 4399103, 'count': 18}"
4399103,"{'CNAE_PRINCIPAL': 4399103, 'CNAE_SECUNDARIA': '4330405,4330404,4399199,2542000,4330403,4322301,4330402,2599301,1622699', 'count': 1}"
4399103,"{'CNAE_PRINCIPAL': 4399103, 'CNAE_SECUNDARIA': '4322301,4321500', 'count': 2}"
4399103,"{'CNAE_PRINCIPAL': 4399103, 'CNAE_SECUNDARIA': 4330404, 'count': 3}"
4399103,"{'CNAE_PRINCIPAL': 4399103, 'CNAE_SECUNDARIA': '4330405,4330404,4330403,4322301,4321500,1622699', 'count': 1}"
4399103,"{'CNAE_PRINCIPAL': 4399103, 'CNAE_SECUNDARIA': '4330405,9001902,1622699', 'count': 1}"
4399103,"{'CNAE_PRINCIPAL': 4399103, 'CNAE_SECUNDARIA': '4330405,4330404,4322301,4330402,4321500,2599301,1622699', 'count': 1}"
4399103,"{'CNAE_PRINCIPAL': 4399103, 'CNAE_SECUNDARIA': '4330404,4322301,4321500,1622699', 'count': 2}"
5812302,"{'CNAE_PRINCIPAL': 5812302, 'CNAE_SECUNDARIA': '2399101,4789001,8230001,4789099,2063100,5819100,3299099', 'count': 1}"
7119701,"{'CNAE_PRINCIPAL': 7119701, 'count': 1}"
4744001,"{'CNAE_PRINCIPAL': 4744001, 'CNAE_SECUNDARIA': '8599604,2539001,9529103,3314710,2543800', 'count': 1}"
4744001,"{'CNAE_PRINCIPAL': 4744001, 'count': 1}"
4744001,"{'CNAE_PRINCIPAL': 4744001, 'CNAE_SECUNDARIA': 4753900, 'count': 1}"
1412602,"{'CNAE_PRINCIPAL': 1412602, 'CNAE_SECUNDARIA': 1340599, 'count': 1}"
1412602,"{'CNAE_PRINCIPAL': 1412602, 'CNAE_SECUNDARIA': '5812302,5912099,1749400,5813100,3299099', 'count': 1}"
1412602,"{'CNAE_PRINCIPAL': 1412602, 'CNAE_SECUNDARIA': 1412601, 'count': 1}"
1412602,"{'CNAE_PRINCIPAL': 1412602, 'CNAE_SECUNDARIA': 1422300, 'count': 1}"
1412602,"{'CNAE_PRINCIPAL': 1412602, 'count': 4}"
4761001,"{'CNAE_PRINCIPAL': 4761001, 'CNAE_SECUNDARIA': '7729299,5812302,5811500,4751201', 'count': 1}"
4761001,"{'CNAE_PRINCIPAL': 4761001, 'CNAE_SECUNDARIA': 4772500, 'count': 1}"
1096100,"{'CNAE_PRINCIPAL': 1096100, 'CNAE_SECUNDARIA': '5620104,1091102,1091101', 'count': 1}"
1096100,"{'CNAE_PRINCIPAL': 1096100, 'CNAE_SECUNDARIA': 5620104, 'count': 1}"
6470101,"{'CNAE_PRINCIPAL': 6470101, 'count': 2}"
4923001,"{'CNAE_PRINCIPAL': 4923001, 'CNAE_SECUNDARIA': '8129000,4744099,5223100,4712100,8230001,4744003,5590603,5590602,4722902,4723700,5611203,7729202,5611204,5611201', 'count': 1}"
4923001,"{'CNAE_PRINCIPAL': 4923001, 'CNAE_SECUNDARIA': 5310502, 'count': 1}"
4923001,"{'CNAE_PRINCIPAL': 4923001, 'count': 1}"
4120400,"{'CNAE_PRINCIPAL': 4120400, 'CNAE_SECUNDARIA': '7112000,4742300,8599604', 'count': 1}"
4120400,"{'CNAE_PRINCIPAL': 4120400, 'CNAE_SECUNDARIA': '4930202,4930201,4330499', 'count': 1}"
4120400,"{'CNAE_PRINCIPAL': 4120400, 'CNAE_SECUNDARIA': '4110700,4211102,4212000,4213800,4221901,4221902,4221904,4222701,4223500,4291000,4292801,4292802,4299501,4299599,4311801,4311802,4312600,4313400,4319300,4322301,4322303,4329199,4330401,4330402,4330404,4330405,4330499,4391600,4399101,4399102,4399103,4399105,4399199', 'count': 1}"
